company_id,business_id,account_id,account_name,campaign_id,campaign_name,adset_id,adset_name,ad_id,ad_name,buying_type,clicks,cpc,cpm,cpp,ctr,frequency,impressions,mobile_app_install,spend,fb_mobile_add_to_cart,fb_mobile_purchase,fb_onsite_conversion_purchase,category,sub_category,image_url,image_hash,video_id,promoted_url,link,start_dt,stop_dt,dt
10001,511273569054473,563666370481859,MD_tapfuns_龙珠_iOS_01,6074738650423,tapfuns_SF_ios_US1_FB_CPM_0815,6080955501423,ios_SL_a_18-44_CPM_FB/IG-A1,6080955500823,taotu_FB/IG_wa03_170817t03b,0,26,0.464615,10.882883,10.981818,2.342342,1.009091,1110,10,12.08,0,0,0,Games,Role Playing,,,,https://itunes.apple.com/app/id1261762991,,2017-11-27,2017-11-27,20171127
10001,511273569054473,563666370481859,MD_tapfuns_龙珠_iOS_01,6074738650423,tapfuns_SF_ios_US1_FB_CPM_0815,6080955501623,ios_SL_b_18-44_CPM_FB/IG-A1,6080955501023,taotu_FB/IG_wa03_170817t03b,0,4,0.2825,11.188119,11.530612,3.960396,1.030612,101,1,1.13,0,0,0,Games,Role Playing,,,,https://itunes.apple.com/app/id1261762991,,2017-11-27,2017-11-27,20171127
10001,511273569054473,563666370481859,MD_tapfuns_龙珠_iOS_01,6074738650423,tapfuns_SF_ios_US1_FB_CPM_0815,6081012132023,ios_SL_pur_18-44_CPM_FB/IG-A1,6081012131823,taotu_FB/IG_wa03_170817t03b,0,60,0.615667,13.84039,13.92386,2.248033,1.006031,2669,18,36.94,0,2,0,Games,Role Playing,,,,https://itunes.apple.com/app/id1261762991,,2017-11-27,2017-11-27,20171127
10001,511273569054473,563666370481859,MD_tapfuns_龙珠_iOS_01,6074738650423,tapfuns_SF_ios_US1_FB_CPM_0815,6081012132223,ios_SL_am_18-44_CPM_FB/IG-A1,6081012132623,taotu_FB/IG_wa03_170817t03b,0,67,0.510597,14.295863,14.459003,2.799833,1.011412,2393,29,34.21,0,4,0,Games,Role Playing,,,,https://itunes.apple.com/app/id1261762991,,2017-11-27,2017-11-27,20171127
10001,511273569054473,563666370481859,MD_tapfuns_龙珠_iOS_01,6074738650423,tapfuns_SF_ios_US1_FB_CPM_0815,6081012478623,ios_SL_am_18-44_CPM_FB/IG-A2,6081012478223,taotu_FB/IG_wa08_170817t02b,0,83,0.416506,12.986476,13.245211,3.117956,1.019923,2662,19,34.57,0,3,0,Games,Role Playing,,,,https://itunes.apple.com/app/id1261762991,,2017-11-27,2017-11-27,20171127
10001,511273569054473,563666370481859,MD_tapfuns_龙珠_iOS_01,6074738650423,tapfuns_SF_ios_US1_FB_CPM_0815,6081012478823,ios_SL_pur_18-44_CPM_FB/IG-A2,6081012479023,taotu_FB/IG_wa08_170817t02b,0,37,0.812703,21.948905,22.029304,2.70073,1.003663,1370,8,30.07,0,0,0,Games,Role Playing,,,,https://itunes.apple.com/app/id1261762991,,2017-11-27,2017-11-27,20171127
10001,511273569054473,563666370481859,MD_tapfuns_龙珠_iOS_01,6074738650423,tapfuns_SF_ios_US1_FB_CPM_0815,6081013255423,ios_SL_a_18-44_CPM_FB/IG-A2,6081013256223,taotu_FB/IG_wa08_170817t02b,0,9,0.275556,7.315634,7.35905,2.654867,1.005935,339,2,2.48,0,0,0,Games,Role Playing,,,,https://itunes.apple.com/app/id1261762991,,2017-11-27,2017-11-27,20171127
10001,511273569054473,563666370481859,MD_tapfuns_龙珠_iOS_01,6074738650423,tapfuns_SF_ios_US1_FB_CPM_0815,6081013256023,ios_SL_b_18-44_CPM_FB/IG-A2,6081013255223,taotu_FB/IG_wa08_170817t02b,0,4,0.4975,7.713178,7.991968,1.550388,1.036145,258,0,1.99,0,0,0,Games,Role Playing,,,,https://itunes.apple.com/app/id1261762991,,2017-11-27,2017-11-27,20171127
10001,511273569054473,563666370481859,MD_tapfuns_龙珠_iOS_01,6074738650423,tapfuns_SF_ios_US1_FB_CPM_0815,6081513792623,ios_SL_am_18-44_CPM_FB/IG-A4,6081513794423,taotu_FB/IG_wa01_170901t01i,0,73,0.319178,14.955071,15.149545,4.685494,1.013004,1558,26,23.3,0,0,0,Games,Role Playing,,,,https://itunes.apple.com/app/id1261762991,,2017-11-27,2017-11-27,20171127
10001,511273569054473,563666370481859,MD_tapfuns_龙珠_iOS_01,6074738650423,tapfuns_SF_ios_US1_FB_CPM_0815,6081513792623,ios_SL_am_18-44_CPM_FB/IG-A4,6081513792423,taotu_FB/IG_wa03_170719t05b,0,5,0.404,11.744186,11.744186,2.906977,1,172,1,2.02,0,0,0,Games,Role Playing,,,,https://itunes.apple.com/app/id1261762991,,2017-11-27,2017-11-27,20171127
