company_id,business_id,account_id,account_name,campaign_id,campaign_name,adset_id,adset_name,ad_id,ad_name,buying_type,clicks,cpc,cpm,cpp,ctr,frequency,impressions,mobile_app_install,spend,fb_mobile_add_to_cart,fb_mobile_purchase,fb_onsite_conversion_purchase,category,sub_category,image_url,image_hash,video_id,promoted_url,link,country,start_dt,stop_dt,year,month,week,dt
10001,511273569054473,563132527201910,Zibolan-NiShangQiYuan-02-01,6066242734057,PromDress-6-29,6066242734857,US-CA-18-34,6066242739457,Defaultname-网站点击量,0,24,0.172083,5.175439,5.315315,3.007519,1.027027,798,0,4.13,0,0,0,unknow,unknow,CA,,,,http://www.simibridal.com/,,2017-11-27,2017-11-27,2017,11,1,20171127
10001,511273569054473,563132527201910,Zibolan-NiShangQiYuan-02-01,6066242734057,PromDress-6-29,6066242734857,US-CA-18-34,6066242739457,Defaultname-网站点击量,0,36,0.161667,7.627785,7.749667,4.718218,1.015979,763,0,5.82,0,0,0,unknow,unknow,US,,,,http://www.simibridal.com/,,2017-11-27,2017-11-27,2017,11,1,20171127
